|french|lingala
0|"Intro:  
Tabu FATU quand passe dans ta voiture de luxe, prévoit un pagne dans le coffre, pour couvrir ceux qui souffrent du froid de l’amour"|"Intro: 
Tabu fatu,tangu ozo lekaleka na voiture na yo ya chère tiaka pe liputa na coffre, po ofini kaka ba é ba kufa malili ya bolingo."
1|"L’amour comme l’oxygène, m’a déjà pénétré dans le cœur, pas moyen que je te quitte chérie  
Cela fait mal, la chose qui peut séparer la chaire humaine de la peau c’est la mort  
Mais l’amour commence à séparer mon corps"|"Bolingo neti oxygène esi Ekoti Ngai motéma moyen te nga na boya cheri eeee  
Ezo pésa Pasi eloko ekoki kokabola mosuni ya Moto na mposo be liwa  
Mais bolingo ekomi kokabola ya ngai nzoto"
2|Tabu être amoureux de toi, il fallait me laisser terminer le tableau en question, l’amour est resté inachevé|Tabu kolinga yo il falait oti ka ngai na silisa tableau yango bolingo étikali inachevé
3|Entre nous, l’amour fut l’ainé ensuite est venu le mépris|Entre ngai na yo kolinga nde ezalaki kulutu sima na yango koyina nde ebotami
4|L’amour est incolore, inodore, puis limpide, et change de forme selon le récipient TABU FATU|Bolingo incolore inodore mpe limpide ezwaka forme selon récipient, Tabu Fatu.
5|Essai bébé|Meka bebe
6|"Essai de me faire voir les facettes cachées nuit et jour pour que mon amour, je sois assuré 
L’hypocrisie est synonyme de lâcheté, comme le disait jadis les anciens de ce monde"|"Meka kolakisa ngai ba facettes caché nuit et jour bolingo na nga nazala assuré  
Hypocrisie ezali synonyme ya lâcheté  Eloba ba kulutu uta kala na mokili"
7|Pour quoi maintenant|Pourquoi lelo ?
8|"Pour quoi je navigue dans le noir, plus que le TITANIC devant l’iceberg  
Je vais le heurter, pour ensuite être coulé, ceci sera écris dans les livres puis restera éternellement"|"Pourquoi na komi ko naviguer na molili koleka Titanic liboso ngo ya iceberg. 
 Naya ko heurter yango sima na zala coulé bakoma na ba livres etikala éternellement"
9|"Maintenant, maintenant je deviens déprimé, névrosé, puis malaisé a cause de la souffrance de l’amour, impossible de vivre  
Je préfère être euthanasié  
Apres la mort, tu sauras que je t’aimais,  … bébé TABU FATU"|"Ah lelo, lelo na komi déprimé névrosé mpe malaisé likolo ya ba souffrances ya love na koki ko vivre te 
 Na préféré na ngai na sala euthanasie 
Apres liwa yo koyéba que na lingaki yo aaa bebe tabu fatu"
10|"L’amour vraiment si c’était l’arithmétique, son addition, sa multiplication tu l’as mis ou ?  
 Tu n’as choisie que la division, mon amour t’es parti, je suis resté avec les soucis dans mon cœur"|Bolingo vraiment soki ezalaki arithmétique addition multiplication na ngo y'otié wapié y’oponi se division bolingo yo okeyi na yo na tikali na ba soucis na motéma na ngai
11|"L’amour était comme le roman de Shakespeare, tu l’as transformer comme celui de Daniel DEFOE  
Je suis resté isolé comme Robinson CRUSOE sur l’ile avec le sang dans les yeux, qui entendra mes pleurs ?"|"Love ezalaki neti roman ya Shakespeare y’okomisi yango lokola ya Daniel DEFOE  
 Na tikali isolé lokola Robinson Crusoé na ile na makila na miso nani ayoka kolela na ngai"
12|Nous étions|To zalaki
13|Nous étions bras dessus, bras dessous, dans les restos, partout dans les fêtes|To zalaki bras dessus bras dessous na ba resto na ba fête partout
14|Maintenant Tabu tu es parti|Lelo oyo tabu y'okeyi na yo
15|Pense ne serai-ce qu’a une bonne chose que, j’ai fais pour toi|Banza ata likambo moko ya malonga na sala pona yo
16|"Parlé : 
Allé maintenant les mamans sortez les pagnes pour couvrir les papas  
Ngouli couvre papa d’un pagne pour qu’il danse Oleh"|"Parler:  
 Allé awa ba mères bo bimisa maputa bo zipika ba pères 
Nguli zipika pé papa liputa a bina Oleh"
17|"Les paroles que Tabu me disait, si c’était des écris, ils se seraient écris sur mon corps  
Pour que je le lui montre peut être qu’elle changer d’idée  
Tabu FATU la maman de Compressor"|" Maloba tabu ayébisaki ngai eh soki ezalaki makoma mbele ekomama ngai na nzoto  
Na lakisa yé po akanisa peut être ako changer idée eh 
Tabu Fatu Tabu Fatu .Tabu Fatu maman na compressor"
18|"Marie France regarde derrière, mon coco Mbaki est parti  
Tu vas trouver quelqu’un avec une santé médiocre, plus que celle des personnes vivant dans un pays en guerre  
Tabu FATU"|"Marie france wa Dido tala sima koko Mbaki na ngai aké!  
Y’okomona moto na yo, na santé médiocre koleka mboka oyo eza na bitumba  
tabu fatu tabu fatu"
19|Je t’aime, tu m’aimes pas, je t’aimerais toujours jusqu’à ce que tu m’aimeras pour que je sois heureux|Na lingi yo olingi te nazo linga kaka ti mokolo oko linga ngai na sepela
20|"Comme ceux qui s’étaient aimé, j’aimerais être ne serai-ce que le dernier  
Que je meurs par amour, que mon corps sent l’amour  
Que j’emmène de tes nouvelles au cimetière puis contaminé les morts …mon amour, l’amour de ma chérie"|"Lokola baye balingamaka nalinga na nga nazala ata moto ya suka . 
 Na kufa na ngai na bolingo ebembe na ngai elumba solo ya bolingo 
 Na mema sango na yo na kunda na contaminé bawa bolingo na ngai bolingo ya cherie."
21|Tabu FATU|Tabu fatu
22|Mon amour, ton amour|Bolingo na ngai bolingo na yo
23|La maman de Compressor|Maman compressor
24|Mon amour, ton amour|Bolingo na ngai bolingo na yo
25|"Tabu FATU j’aime que tu sois toujours prés de moi  
Comme l’amour d’une none au foulard 
 Loin de toi, la tristesse est plus grande que la souffrance  
Les larmes sont plus longues qu’une cravate …Tabu"|"Tabu Fatu na lingaka toujours ozala pembeni na ngai eh 
Lokola bolingo ya mamelo na kitambala 
Mosika na yo mawa eleki souffrance na ebele 
Pinzoli eleki molayi ya cravate, Tabu"
26|"Tabu FATU près de moi, tu es comme cet enfant qu’avait demandé son héritage a son père  
Là ou il était parti, il avait échoué et avait fini par retourner chez son père  
Toi aussi la ou tu es parti si ca ne marche pas, tu es toujours mon amour  
Même dans l’enfer, si tu es près de moi, la souffrance sera moindre Tabu"|"Tabu Fatu epa na ngai oza lokola mwana asengaki bomengo ya papa na ye 
 Epayi akendeki esimbaki te , azongaki toujours na maboko ya papa na ye 
 Yo pe epayi okeyi soki esimbi te oza toujours bolingo na ngai eh 
Ata na lifelo, soki oza pembeni na ngai souffrance eko zala moins Tabu"
27|Vers-moi, vers- moi, vers-moi, vers-moi (x2)| Vers-moi, vers- moi, vers-moi, vers-moi (x2)
28|"Le prête a la fin de la messe dit que celui qui a des oreilles écoute, que le cœur accepte  

Est-ce que tu entends ?  
 
Je n’entends pas  

Est-ce que tu accepte ? 

Je n’accepte pas"|"Sango nasuka ya misa alobaka oyo aza na matoyi ayoka , motema a ndima 
 Est-ce que oyoki eeh? 
 Na yoki te!  
Est-ce que ondimi iih? 
Na mdimi te"
29|"Chérie couvre moi d’un pagne  

Pas une autre  
Je n’aimerais que toi  
Même celles qui sont plus belle que toi  
Et alors, je ne suis pas là-bas 
Le sorcier aime la nuit, moi j’aime Tabu FATU  
L’oiseau demande le riz, il ne demande pas d’avion"|" Cherie finika ngai liputa mama 
Mosusu te  
Nako linga kaka yo eeh 
 Ata ba oyo ba leki yo na beauté 
cia nga naza kuna té 
 Ndoki alula butu Ngai na lula na ngai Tabu Fatu. 
 Ndeke asengaka loso asengaka te avion."
30|"J’ai faim, mais je ne demande que de l’amour  
Je n’ai pas d’habit, mais je ne demande que Tabu FATU  
Je n’ai pas de papa, Faustin me manque, maman Monique me manque  
Il ne me reste que Keyna  
Il ne me reste que Marcosisé, l’homonyme de mes parents, maintenant il faut que tu manques aussi Tabu FATU"|"Naza na nzala kasi na sengi na ngai bolingo, 
Nazanga mbati kasi na sengi na ngai tabu fatu 
 Na zanga papa, na zanga Faustin, na zanga Mama Monique 
 Na tikala na Keyna na nga 
 Na tikalaa na Marcosisé ndoyi ya ba parents na ngai bongo nga na zanga yo tabu fatu"
31|"Je me laisse faire, comme un aveugle dans les mains d’un voyant  
Partout ou il va m’emmener, je vais y aller   
Même si je meurs, ou que je survive Tabu  
Même sous le soleil, ou dans la pluie chérie"|" Ngai namitiki lokola aveugle na maboko ya voyant 
 Nzela nionso bakomema ngai, nako kende na ngai. 
 Ata na kufa, ata na bika Tabu 
Ata na moyi, ata na mvula chérie"
32|"J’ai faim, mais je ne demande que de l’amour  
Je suis pauvre, mais je ne demande que de l’amour  
Le jour où je vais rencontrer Dieu, je vais lui demander l’impératrice  Wivine MOLEKA 
Chérie apparait comme un succube"|"Naza na nzala kasi na sengi na ngai bolingo 
Naza magnolo kasi na sengi na ngai l'amour  
Mokolo na kokutana na nzambe , nga na kosenga ye l’imperatrice Wivine Moleka ya Mado Chérie bimela ngai ata lokola femme de nuit"
33|"Je suis allongé dans le lit, je t’attends  
Même si c’est à 6 heure, midi, jusqu’à 16 heure 
Je refuse de prier, de peur que Dieu te chasse"|"Nga na mitandi na mbeto na kozela yo 
 Ata na 6 heure ata na midi, ti na 16 heure 
Na boyi kosambela noki nzambe abenganela ngai yo"
34|"Chérie couvre moi d’un pagne  

Pas une autre, je n’aimerais que toi  
Même celles qui sont plus belle que toi  
Et alors je ne suis pas là-bas 
Le sorcier aime la nuit, moi j’aime Tabu FATU  
L’oiseau demande le riz, il ne demande pas d’avion"|"Cherie finika ngai liputa maman 
Mosusu te na kolinga kaka yo eh 
Ata ba oyo ba leki yo na beauté  
cia nga naza kuna té 
Ndoki alula butu. Ngai na lula na ngai Tabu Fatu 
Ndeke asengaka loso asengaka te avion"
35|"J’ai faim, mais je ne demande que de l’amour  
Je suis pauvre, mais je ne demande que de l’amour  
Le jour où je vais rencontrer Dieu, je vais lui demander Thethelito"|"Naza na nzala kasi na sengi na ngai bolingo  
naza magnolo kasi na sengi na ngai bolingo 
 mokolo na ko coutana na nzambe ngai nako ségayé Thethelito"
36|"Matusube coupe un morceau de ton pagne  

Partout ou j’irais que je l’emmène, même dans le poche, ou dans le porte monnaie, ou dans la voiture"|"Matusube katélangai ata kitédi ya liputa na yo 
Nzela nionso na kokende ngai na méma ngo ata na poche ata na gode ata na voiture      
     "
